1.1.1	atha vidhyavyapadeśe sarvakratvadhikāraḥ
7.8.14	paurumīḍhe madhye nidhanaṃ na
7.8.15	āṣṭādaṃṣṭrasadoviśīyārkapuṣpeṣu ca
7.8.16	ikārādimiḍāṃ sarva upeyus tāni pratīcīneḍāni
7.8.17	ukāraṃ tv anyāsu gautamaḥ
7.8.18	iḍeti dhānañjapyaḥ
7.8.19	ikārāntaṃ caivopāyaṃ saṃpragāyanti kutsā evaṃ naḥ kṛtsneḍopetā bhaviṣyatīti pratyudgītas tu khalv eṣāṃ tathodgātā bhavati
7.9.1	pragātheṣu bṛhadrathantarayor yajñāyajñīyasya cānādeśe kakubhāv uttare
7.9.2	tayor hy akṣaraḥ prastāvaḥ sarvatra
7.9.3	tṛceṣu tv akṣarasasaṅgena
7.9.4	prathamāyā uttamam akṣaraṃ madhyamāyāś ca prathamam
7.9.5	evam evāpare dvitīyottamayoḥ
7.9.6	prastāvapratihāraṇidhanānām akṣaraparimāṇaṃ sarvatra yathāyoni cikīrṣed vaichandaseṣv anādeśe
7.9.7	yasyārcikam udāttānudāttaṃ tadṛg ūḍham atha yasya sāmikaṃ tat sāmoḍhaṃ yathā pauṣkalasyottarayor yathā333vide33samā333psujo33diti dhānañjayas tadṛg ūḍhaṃ yathāvide23111 samābhu3jī2311diti śāṇḍilyas tat sāmoḍham
7.9.8	ūnākṣareṣu pādeṣv akṣaropadhiṃ śāṇḍilyo yathāgnes triṇidhanasyā3nū3pe2333go3mā3ngobhirā333uvā333ā333kṣā3so3mo3dū2333gdhābhirā333uvā333ā23kṣā3s tad akṣarasadhātu
7.9.9	anupadhiṃ dhānañjayaḥ
7.9.10	āunūpa3333go3mā3ngobhirā3uvā3cā3333somo3dū3333gdhābhirāuvā333kṣā23111s tat padasadhātu
7.9.11	pāṅktasyānuṣṭupsu dvitīyaṃ padaṃ dvaidhaṃ vyūhed yatharṣabhasya śākvarasya caturakṣaraśaḥ
7.9.12	tṛtīyaṃ yathā saṃkṛtino bṛhatīṣv aṣṭākṣaraṃ caturakṣaraṃ ca
7.9.13	yonau yāny abhyāsenānyachandaḥ sampadyate yathā gaurīvitaudale kautsaṃ caikakubhavaikhānase tadāpanneṣu gautamasārdāgavāvanabhyāsam
7.9.14	maśako gārgyo 'bhyāsaṃ maśako gārgyo 'bhyāsam
7.10.1	upāsthāneṣv anyāni nidhanāni
7.10.2	svarānādeśe tathā svarāṇi syuḥ
7.10.3	iḍā cānādeśe
7.10.4	adhyardhā tv adhyardhaupānām
7.10.5	autpattikaḥ svaraḥ
7.10.6	svaḥkāśīte
7.10.7	daivodāsasujñānayoś ca
7.10.8	svaḥpṛṣṭhe ca pūrvaḥ
7.10.9	uttara iti gautamadhānañjapyau
7.10.10	aupagavayorathāmathā vā
7.10.11	kāmaṃ tu nānābhicaraṇīyeṣu vā mathāthānyatra
7.10.12	jāgatasya somasāmna indra iva dasyūṁr amṛṇā 23111ḥ sūrya iva dasyūṁr amṛṇā 23111 vajrin suvajrī 23111 nindra iva dasyūṁr amṛṇā 23111: sūrya iva dasyūṁr amṛṇo vajrin suvajrī 23111nitivendra iva dasyūṁr amṛṇaḥ sūryadrava dasyūṁr amṛṇā 23111 vajrin suvajrī 23111 niti vendra iva dasyūṁr amṛṇaḥ sūrya iva dasyūṁr vamṛṇo vajrin suvajrī 23111 niti vā
7.10.13	kārttayaśe trayo vikalpādayinnave 33 haṃ 33 dayinnave 333 haṃ 33 dayinnave haṃ 23111
7.10.14	evam evottarasminnidhane
7.10.15	gāyatrasya padena prastāvaḥ sarvatra
7.10.16	aṣṭākṣareṇeti dhānañjapyaḥ
7.10.17	tathā purāṇaṃ tāṇḍam
7.10.18	tasya nidarśanārthaṃ gānaṃ gāyatrīṣu
7.10.19	upāsmai gāyatā naro3m iti dhānañjapya upāsmai gāyatā naro3 iti śāṇḍilya upāsmai gāyatā narā3 ity eke
7.10.20	śeṣam udgātā manasā tu svabhaktim oṃkāraṃ tathā svaraṃ vācā gāyet
7.10.21	pā3vamānāyendā3vā33 ityekāvṛdabhidevāṃ iyā3ityaparākṣā 3ta ityarā
7.10.22	pūrvāvāvargāvavanardāviti dhānañjapyaḥ
7.10.23	madhyamāyām āvṛti dvau stobhau kuryāt tāv avanardāv iti gautamaḥ
7.10.24	abhidevāṃ iyā 3333 iti
7.11.1	jyāyasi chandasi prathamāyām āvṛttyāvaped uttamaṃ padaṃ śiṣṭvā
7.11.2	aṣṭākṣaram iti dhānañjapyaḥ
7.11.3	ūrdhvaṃ retasyāyā dvyakṣaraṃ śiṣṭvā hiṅkāraṃ brūyād dhuṃ3ā33 iti
7.11.4	taṃ retasyāyāṃ pratihartā manasā dhyāyen na parāsv iti gautamaḥ
7.11.5	parāv eveti dhānañjapyaśāṇḍilyau
7.11.6	rathantaravarṇāyāṃ catvāry akṣarāṇy abhiṣṭobhed bhābhā iti śāṇḍilya bhabha iti dhānañjapyas tryakṣaraṃ cābhiṣṭobhet prathamaṃ hy akṣaraṃ luptam iti
7.11.7	huṃ 33 iti hiṅkāraḥ
7.11.8	dvādaśākṣarāṣyabhiṣṭobhed anuṣṭubhi
7.11.9	sarvatra catvārīti śāṇḍilyayor yatharcaṃ cāntaṃ brūyāt
7.11.10	kṣā 3 tā 3 ivā 3 yū 3 iti
7.11.11	ākāraṃ tvācāryās taṃ dīrgham
7.11.12	avasvarad iti dhānañjapyaḥ kṣā 3 to 3 ā 3111
7.11.13	kṣāto vā iti gautamaḥ
7.11.14	kṣāto ā ity eke
7.11.15	kāmyānāṃ nidhanānāṃ kiñcic cikīrṣann uttamasya dvyakṣarasya sthāne kuryād iti gautamaḥ
7.11.16	abhidevāṁ hayakṣatā 33333 iti vā sarvām ṛcaṃ samāpya
7.11.17	avikāreṇa sarvaṃ gītveti dhānañjapyas tāny ākārasthāneṣu syur nidhanatvena hi codyante
7.11.18	akṛtalakṣaṇacodanāc cautpattikasvarāṇi
7.11.19	kṛtasvaraṃ tu nidhanaṃ tasya codyate varṇavikāro yathā rathantarasya gāyatryaḥ
7.11.20	tāni sarvatra syur anārabhyotpattitvād gāyatrasya
7.11.21	bahiṣpavamāna ity eke taddhi vikārā nātikrāmanti yathā retasyā rathantaravarṇe dhurāṃ ca sāmāntāḥ
7.11.22	bahiṣpavamānasaṃyogas tu teṣāṃ na kāmasaṃyogaḥ
7.12.1	gotivikāro gāyatrasya dhuraḥ
7.12.2	stotrīyānurūpayor jyotiṣṭomasyājyeṣu ca nānyatra
7.12.3	retasyāyās trir udgṛhṇātīti brāhmaṇaṃ bhavati pā332 vā332 mānāyendā 3 vā 332 i
7.12.4	gāyatry uttarā tasyā dve cākṣare samāyanī vyatiṣajatīti brāhmaṇaṃ bhavati madhyamasya ca padasyottamam uttamasya ca prathamam ātharvāṇo aśiśrāde 332 yurvandevā yadā 33333
7.12.5	triṣṭub uttarā tāṃ balavad ivoraseva gāyantīti brāhmaṇaṃ bhavati śāṃ 332 jā 332 nā 332 ya śamarvā 3 tā 3 iśaṃ rā 33 jā 33 no 33233 ṣā 3 dhā 33333
7.12.6	uttamārdhe dve akṣare dyotayatīti brāhmaṇaṃ bhavati
7.12.7	ye ūrdhvaṃ hiṅkārāt te nibrūyād iti gautamaḥ
7.12.8	ṣādhā iti dhānañjapyaḥ
7.12.9	jagaty uttarā tasyāś catvāri catvāry akṣarāṇi nikrīḍayann iva gāyaty ā dvādaśabhyo 'kṣarebhya iti brāhmaṇaṃ bhavati pāriṣṭobhā 233 ntā33 yā kṛpā332so3 māḥ śukrā332 gā 3 vā 33333
7.12.10	uttamārdhe catvāry akṣarāṇi dyotayatīti brāhmaṇaṃ bhavati
7.12.11	dve purastāddhiṅkārāt tathopariṣṭād iti gautamaḥ
7.12.12	somāḥ śukrā iti dhānañjapyaḥ
7.12.13	anuṣṭub uttarā tāṃ ninardann iva gāyatīti brāhmaṇaṃ bhavaty ā vājaṃ vājyakramī33333t sīdanto vāṃ33333nuṣā 33333
7.12.14	niruktāṃ cāniruktāṃ ca gāyatīti brāhmaṇaṃ bhavati
7.13.1	samastabrāhmaṇaṃ dhurāṃ manya iti gātamastriṣṭubjagatyor hy akṣarāṇi nirāheti
7.13.2	etasyā eveti dhānañjapyaśāṇḍilyau
7.13.3	tasyā dvitīyaṃ padaṃ nirbrūyāt tṛtīye cākṣare pañcamaṣaṣṭhe
7.13.4	paṅktir uttarā
7.13.5	tasyā dve dve akṣare udāsaṅgāyattyā ṣaḍbhyo 'kṣarebhya iti brāhmaṇaṃ bhavati saṃjā31 gmāno3 dā3 ivā3
7.13.6	kā3 vā3 iti dhānañjapyaḥ ka vā3 iti śāṇḍilyaḥ
7.13.7	sad iti retasyāyā nidhanaṃ sam iti gāyatrayāḥ svar iti triṣṭubha iḍeti jagatyā vāg ity anuṣṭubhaḥ
7.13.8	teṣām ukto nyāyaḥ kāmyaiḥ sāmāntaiḥ
7.13.9	na tūrdhvaṃ bahiṣpavamānāt syuḥ
7.13.10	jagatīṃ gāyatrīṃ triṣṭubanuṣṭubhāv iti pṛthag ājyaprathamāsu gāyet tat purāṇaṃ yathājyagānam
7.13.11	gāyatrītriṣṭubhor vyatikramaṃ dhānañjapyaḥ
7.13.12	gāyatrīṃ maitrāvaruṇasyājyaprathamāyāṃ hotur itarā āditas tat purāṇaṃ hotur ājyagānam
7.13.13	triṣṭubha uttarāṃ gāyatrīṃ gītvā tasyā eva dvitīyāyām ṛcyanuṣṭubhaṃ gāyed iti dhānañjapyo gāyed iti dhānañjapyaḥ
8.1.1	udagayanapūrvapakṣapuṇyāhasaṃnipāte yajñakālo 'nādeśe
8.1.2	saṃkhyāmātre ca dakṣiṇā gāvaḥ
8.1.3	hiraṇyamiti jātarūpaṃ pratīyāt
8.1.4	prathamāyāṃ pūrvapakṣasya dīkṣetaikāhebhyaḥ
8.1.5	dṛṣṭvā vā nakṣatrayogam
8.1.6	teṣām ekā dīkṣānādeśe tisraś catasro 'parimitā vā
8.1.7	tisra upasadaḥ
8.1.8	jyotiṣṭomasyokthānām uttare saubharanārmedha atirātra ukthānta itarāṇīti gautamo vṛttigrahaṇāt
8.1.9	aniyogam itareṣāṃ dhānajapyo 'viśeṣāmnānāt
8.1.10	itarāṇy apy atirātra iti śāṇḍilyas tulyacodanāt
8.1.11	āṣṭādaṃṣṭrayor vikalpaḥ syāt
8.1.12	kāmyān ukthachandoyogān atirātrasya manyante saubharanārmedhapramāṇāḥ
8.1.13	vṛttis tv anuṣṭubhāṃ rātryupāyena vidyate
8.1.14	dṛśyate cānyatra rātryupāyān nārmedhaṃ yathābhiplavasya pañcāhe
8.1.15	tasyānuṣṭubhaḥ stotrīyaḥ syād ukthānteṣu vaicchandaso 'tirātreṣu vṛttivibhāgāt
8.1.16	svatantrasya jyotiṣṭomasya saṃsthā vikalpā āgniṣṭomyam ukthyatātirātryam iti
8.1.17	tasyānatirātrasya dvādaśa śataṃ dakṣiṇāḥ
8.1.18	goāyuṣoś ca
8.1.19	viśvajidabhijidbhyāṃ yamābhyāṃ yajamānaḥ pūrvāparābhyāṃ yajeteti dhānañjapyaḥ
8.1.20	yugapad iti śāṇḍilyaḥ
8.1.21	abhijito dakṣiṇaṃ devayajane syād viśvajita uttaram
8.1.22	tat prati patnīśālā syāt
8.1.23	nānartvijo yaccāntarvedi karma
8.1.24	atha yad bahirvedy ekaṃ tat
8.1.25	abhijitaḥ pūrvaṃ pūrvaṃ karma saṃtiṣṭheta viśvajita uttaram
8.1.26	tayoḥ pṛthak sahasre dakṣiṇāḥ
8.1.27	kāmaṃ tv ayam ābhyāṃ yajeta
8.1.28	sahasram abhijiti dakṣiṇāḥ śatāśvaṃ sahasraṃ sarvavedasaṃ vā viśvajiti
8.2.1	tasyāvasbhṛthād udetya rohiṇaṇīṃ vatsacchavīṃ paridhāya dharmān kuryāt ta uktā brāhmaṇena
8.2.2	araṇye tisro vasatīty udumbare vaset
8.2.3	udumbarābhāve 'py udumbaraśākhāṃ nikhaneyuḥ
8.2.4	khanitreṇa jīvatīti yat tatra khānyaṃ syāt tena jīvet
8.2.5	khānyābhāve dhānyapātrān nikhāya tair utkhānaṃ jīvet
8.2.6	ubhayataḥ kṣṇudabhrir bhavatīti vaiṇavī kalmāṣīti śāṇḍilyaḥ
8.2.7	yā kā ceti dhānañjapyaḥ
8.2.8	niṣādeṣu tisro vasatīti pārśvato niṣādagrāmasya vaset
8.2.9	teṣāṃ kāmam āraṇyaṃ bhuñjīta naivāraṃ śyāmākaṃ mārgam iti
8.2.10	jane tisro vasatīti rājanyabandhur jano brāhmaṇaḥ samānajana iti śāṇḍilyaḥ
8.2.11	vivāhyo janaḥ sagotraḥ samānajana iti dhānañjapyaḥ
8.2.12	pratīveśo janapado jano yatra vaset sa samānajana iti śāṇḍilyāyanaḥ
8.2.13	ete dharmāḥ sarvavedasadakṣiṇānāṃ sarveṣām
8.2.14	vratavatsu sarveṣv amāvāsyāyāṃ dīkṣitvokhām ābadhnīta sāṃvatsarikebhyo 'nyatreti gautamaḥ
8.2.15	saha sutyābhiḥ ṣaḍahāni saṃvatsarād adhikāni kṛtvottiṣṭheyuḥ
8.2.16	samāpte vā saṃvatsare rātrisatreṣu rājānaṃ krīṇīyuḥ
8.2.17	yathājāti tu prathame pañcadaśarātre dīkṣeran
8.2.18	sarvatra vā yathājāty anyatra cedupetam iti dhānañjayaḥ
8.2.19	anupetaṃ ced apīti śāṇḍilyaḥ
8.2.20	tisra upasado vratasyaikāhikasya gautamīyena
8.2.21	ṣaḍ vā dvādaśa vā
8.2.22	tatra brahmaṇe 'śvarathaṃ śataṃ ca dadyāt
8.2.23	tathāgniṃ cinvate 'dhvaryave
8.2.24	pṛṣṭhena ca stuvānāyodgātre
8.2.25	taccānuśasate hotre
8.2.26	sarvebhyaḥ sahasram
8.2.27	sarvavedasadakṣiṇaṃ vā
8.2.28	itaracchāṇḍilam
8.2.29	sarve sāhasrāḥ pṛthak sahasradakṣiṇāḥ
8.3.1	sādyaskreṇa yakṣyamāṇo mahārātreḥ prātarāhutiṃ hutvācakṣītartvigbhyaḥ sādyaḥkrīma iti
8.3.2	praga eva prahiṇuyād iti dhānañjapyo dīkṣāprabhṛti sadyaḥ sarvaṃ kuryuḥ prathamadvitīyayoḥ śyenasya ca
8.3.3	ekatrikāntāḥ ṣaṭsādyaḥkrā iti śaucivṛttiḥ
8.3.4	urvarā vedir iti prathame yuvor varā pakvā syād vrīhyūrvarā vā
8.3.5	tata eva samutkartaṃ khala uttaravediṃ kuryuḥ
8.3.6	khale vālīyūpo bhavatīti lāṅgaleṣā yūpaḥ syāt kalāpī caṣālabhāgā
8.3.7	atītāyāṃ ced yavavelāyāṃ vrīhivelāyāṃ vā yajeta dhānyapātrānuptvābhikṛṣeyuḥ
8.3.8	dhānyapātrā uttaravediḥ syānmūtaś caṣālabhāgā
8.3.9	trivatsaḥ sāṇḍa iti bahuḥ trivarṣasya jānapadī trivatsa iti
8.3.10	yo vā tisro dhayet
8.3.11	trivarṣo vaiva syāt
8.3.12	prāñcaṃ hotāraṃ vaheyur udañcam udgātāraṃ pratyañcam adhvaryuṃ dakṣiṇā brahmāṇaṃ purastād vātra vaheyus tatraibhyaḥ somaṃ prabrūyur aśvarathair yātvā ta uktā brāhmaṇenādhvānaś ca
8.3.13	kuryur evartvija iti śāṇḍilyo 'nyān su brāhmaṇāṃs tān adhvana ūḍhvā tatraibhyaḥ somaṃ prabrūyur asau sadyaḥkriyā yajate tad ahaṃ prabravīmīndrāya viśvebhyo devebhyo brāhmaṇebhyaḥ somyebhyaḥ somapebhya iti
8.3.14	sa kṣīradṛtayor athā bhavantīti sadyo dugdhena kṣīreṇa dṛtayaḥ pūrṇāḥ syus tato 'yann avanītam udīyāt pheno vā tadājye 'pi sṛjeyuḥ
8.3.15	aśvaḥ śveta etasya dakṣiṇā tam udgātre dadyāt kiñcic cetarabhyaḥ
8.4.1	etenaivottaro vyākhātaḥ
8.4.2	tasyāś ca ekaviṃśo dakṣiṇānām ato vaiva
8.4.3	ekarātrīṇo hy ahīno 'nukrīs te 'ṅgirasa ādityebhyaḥ śvaḥsutyām iti hy āha
8.4.4	tasya krayaprabhṛty uttaram ahaḥ syād iti gautamas taṃ sadyaḥ parikrīyeti hy ādityān āha netarān
8.4.5	aparedyuḥ krayaṇāc cānukrīr ity ākhyā
8.4.6	upavasathāntaṃ pūrvam ahaḥ syād iti dhānañjapyaḥ śvaḥsutyām iti hyāheti śvaḥ krayaṃ prābruvann ity abhaviṣyat
8.4.7	taṃ sadyaḥ parikrīyeti ca prathamasya sadyastāṃ darśayati
8.4.8	dvyahīnatvāt tu jaghanyatare 'ṅgiraso 'krīṇaṃs tasmād anukrīr ity ākhyā
8.4.9	tasyāśva ekaśatatamo dakṣiṇānām aśvo vaiva
8.4.10	etenokto viśvajicchilyaḥ
8.4.11	dvirātrīṇas tryahīna iti śāṇḍilyaḥ
8.4.12	daikṣaṃ prathamam ahaḥkrayaprabhṛtyupavasathāntaṃ dvitīyaṃ sauttamattamam
8.4.13	tasya dakṣiṇā yānāni yathotsāhaṃ dadyāt tasmin janapade yāny abhidhyātatamāni syuḥ
8.4.14	sarvavedasanirmān dadyād iti dhānañjapyo vimitaṃ śayanam ārohaṇam ahānase dāsamithunau dhānyapalyaṃ sīraṃ dhenur iti dhenur iti
8.5.1	vrātīnānāṃ yaudhānāṃ putrān anūcānān ṛtvijo vṛṇīta śyenasya
8.5.2	arhatām eveti śāṇḍilyaḥ
8.5.3	abhivātāsu yā anabhivātā syus tāsām ājyaṃ manthayet
8.5.4	yatra stambā vṛkṣā vā bahulā jātāḥ syus tāṃśchedan devayajanaṃ kuryuḥ
8.5.5	yad vā vidāhi sthaṇḍilam
8.5.6	śavanabhye adhiṣavaṇe iti yena yānena mṛtaṃ nirvaheyus tasya nabhye adhiṣavaṇaphalake kuryuḥ
8.5.7	acaṣālo yūpasphyāgraḥ
8.5.8	lohitoṣṇīṣā lohitavāsaso nivītā ṛtvijaḥ pracareyur upotaparuṣā ujyadhanvānaḥ
8.5.9	pavamāne rathantaraṃ karotīti bṛhatyām ekarcānāṃ sthāne syād ekaṃ taddhi bārhatānāṃ sthānam evaṃ ca tṛce bhavati
8.5.10	avipratiṣedhenetareṣām anukalpayed ity aparam evamalpīyān vikāraḥ
8.5.11	tatra pañcamaṃ bārhatam āharet stomavaśena tat paurumadgaṃ syāt bhrātṛvyavadhaṃ hy asmin brāhmaṇaṃ darśayati
8.5.12	pṛṣṭheṣu rathantarasyottarayor dvipade syātām ity ācāryā evaṃ suparācyo bhavantīti
8.5.13	kakubhāv iti gautamo nāvṛttim etat stomasya darśayatīti
8.5.14	plavaṃ brahmasāma kurvan śyaitasyarkṣu kuryāt
8.5.15	vṛttir hy etasmin sthāne pāvamānīnāṃ na vidyate
8.5.16	nava nava dakṣiṇā iti navavargāny athotsāhaṃ dadyāt kāṇasvorakūṭabaṇḍānām
8.5.17	tāsām api dakṣiṇāvelāyāṃ lohitaṃ janayeyuḥ
8.5.18	ekatrike sadyaḥ sarvaṃ kuryuḥ
8.5.19	ekadīkṣas tryupasatka iti gautamaḥ
8.5.20	tasya gāyatrapārśvam ārbhavo 'yā ruceti
8.5.21	purojityām iti śāṇḍilyas tasyāḥ sasutveyo vasūnām ity etāṃ madhye kuryāt
8.5.22	prācīm anupradiśaṃ yāti cekitad ity etasyām udvaṃśīyaṃ kuryād uddhṛtya gāyatrapārśvam iti lāmakāyanaḥ
8.5.23	trikaṃ bahiṣpavamānaṃ syād iti dhānañjapyaḥ pañcī madhyandinaḥ saptārbhava ekīnītarāṇīti
8.5.24	pavamānāś ca hotṛṣāmāṇi ca trikāṇy ekīnītarāṇīti
8.5.25	caturuttarasaṃpanno dve dve trikapañcinī pratyavaroheṇa
8.5.26	tasya ṣaṭṣaṣṭhaṃ śataṃ dakṣiṇāḥ
8.6.1	vrātyastomair yakṣyamāṇāḥ pṛthag agnīn ādhāya yajñopakaraṇāni ceṣṭvā ya eṣām adhyayane 'bhikrāntitamaḥ syād abhijanena vā tadabhāve 'pi bhogalābhena tasya gārhapate dīkṣeran bhakṣāṃś cānu bhakṣayeyuḥ
8.6.2	ye ke ca vrātyāḥ saṃpādayeyus te prathamena yajeran
8.6.3	brāhmaṇenetara uktāḥ
8.6.4	sthāvirād apetaprajananā ye te śamanīcāmeḍhrāḥ
8.6.5	yan niruktaṃ nidhanam upeyur itīndreti dyautāne nidhanaṃ nirāhus tasya pratiṣedhaḥ
8.6.6	yathāmnāyam evopeyuḥ
8.6.7	uṣṇīṣaṃ ca pratodaś cety uṣṇīṣaṃ yat tiryaṅ anaddhaṃ bhavati vrātyānām
8.6.8	dhanuṣkeṇāniṣuṇā vrātyāḥ prasedhamānā yanti sa jyāhnoḍaḥ
8.6.9	vipathaś ca phalakāstīrṇa iti prācyaratho nāstīrṇo vipathaḥ
8.6.10	kampramiśrābhyām aśvāśvatarābhyāṃ yuktaḥ syād iti śāṇḍilyaḥ
8.6.11	yābhyāṃ kābhyāṃ cāśvābhyām aśvatarābhyāṃ veti dhānañjapyaḥ
8.6.12	kṛṣṇaśaṃvāsa iti kṛṣṇaṅkahramiśram iti śāṇḍilyaḥ
8.6.13	śuklaṃ kṛṣṇadaśam iti gautamaḥ
8.6.14	kṛṣṇam ity eva manya iti dhānañjapyaḥ
8.6.15	yāvavikā dvābhyām avibhyām ekaikaḥ krītaḥ syāttayoḥ pārśvasaṃhite kṛṣṇabalakṣe ajine syātām
8.6.16	balakṣam iti śvetākhyā
8.6.17	rajato niṣkaḥ
8.6.18	tad gṛhapater ity etat sarvaṃ gṛhapatir āharet trayastriṃśataṃ ca
8.6.19	dvitrayastriṃśatam iti śāṇḍilyaḥ
8.6.20	valūkāntāni dāmatūṣāṇītareṣām ity āvikāni lohitapravāṇāni vasanāni syuḥ
8.6.21	dāmatūṣāṇīti dāmadaśāni syur daśākhyā tūṣam iti
8.6.22	dve dve dāmanī iti dve dve ekaikasya vasanasya daśe syātām
8.6.23	dve dev upānahāv iti kṛṣṇaḥ karṇinya iti śāṇḍilyaḥ
8.6.24	yāḥ kāś ceti dhānañjapyaḥ
8.6.25	dviṣaṃhitāny ajinānīti pūrvābhyām ajinābhyāṃ vyākhyātāni
8.6.26	tac cetareṣām ekaika āharet trayastriṃśaṃ śataṃ ca trayastriṃśatā gṛhapatim abhisamāyantīti hy āha
8.6.27	te trayastriṃśata ṛtvigbhyo dadyuḥ
8.6.28	vrātyebhyo vrātyadhanāni ye vrātyacaryāyā aviratāḥ syur brahmabandhave vā māgadhadeśīyāya yasmā etad dadati tasminn eva mṛjānāyantīti hy āha
8.6.29	vrātyastomair iṣṭvā traividyavṛttiṃ samātiṣṭheyuḥ
8.6.30	taiṣāntata ūrdhvaṃ bhuñjītāpi cainān kāmaṃ yājayed iti
8.7.1	agniṣṭutsv anaḍuhām aśvānām ajanām iti yathotsāhaṃ dadyāt tathā hiraṇyasya
8.7.2	kaṃcid artham arhan yo na prāpnuyāt sa trivṛtāṃ prathamena yajeta
8.7.3	tasya caturyug aśvaratho dakṣiṇā teṣām ekaḥ śyāvaḥ syāt
8.7.4	yaṃ brāhmaṇāḥ svarājānaḥ puraskurvīran sa bṛhaspatisavena yajeta
8.7.5	tasya prātaḥsavane sanneṣu nārāśāṃseṣv ekādaśadakṣiṇā vyādiśed ṛtvigbhyo nāpākuryāt
8.7.6	aśvadvādaśā madhyandine
8.7.7	tā ubhayor apākaroti
8.7.8	ekādaśa tṛtīyasavane tā anubandhya vapāyā hutāyām apākuryāt
8.7.9	tāny apy ekādaśaikādaśaśatāni syuḥ sahasrāṇi vā nityas tv aśvo madhyandine
8.7.10	ya enaṃ puraskurvīrann anvagbhūtavṛttiṃ tata ūrdhvaṃ teṣu vartayet
8.7.11	sthapatir iti cainaṃ ta ācakṣīran
8.7.12	śyeneneṣur vyākhyātodvīkṣopasadas tv asyaikāhikyaḥ
8.8.1	sarvasvāreṇa yakṣyamāṇo dīkṣāprabhṛti prayateta yathā sautye 'hani preyām iti
8.8.2	prāṇabhakṣaṃ sarvatra bhakṣān bhakṣayet
8.8.3	tān apo 'bhyavahārayet karte vānuṣecyet
8.8.4	somamadbhiḥ saṃsṛjya mārjālīyasadeśe ninayeyuḥ
8.8.5	ārbhave pavamāne stūyamāna udumbaryā dakṣiṇā prāvṛto nipadyeta kṛṣṇājinam upastīrya dakṣiṇāśirās tad eva saṃgacchate tad eva mriyata iti
8.8.6	etaṃ mṛtaṃ yajamānaṃ havirbhiḥ sahajoṣe yajñapātraiś cāhavanīye prahṛtya pravrajeyur iti śāṇḍilyaḥ
8.8.7	samāpayeyuḥ śeṣam iti dhānañjapyaḥ
8.8.8	samāpayeyuś ced iti śāṇḍilyāyano nediṣṭo tat kṛṣṇājinaṃ pratimucya yājamānaṃ kuryāt bhakṣāṃś ca bhakṣayet
8.8.9	ṛtvijo yājayamānaṃ kuryuḥ sarvahuto bhakṣān juhuyuriti dhānañjapyaḥ
8.8.10	saṃsthite 'hani santvā hinvantīty āsandyaṅgāni samācareyuḥ
8.8.11	santvā riṇantīti prakṣālayeyuḥ
8.8.12	santvā tatakṣṇur iti takṣṇuyuḥ
8.8.13	santvā śiśantīti vivayeyuḥ
8.8.14	tayainam avabhṛthaṃ hṛtvā somopanahanena pracchādyānubandhyavapāyāṃ hutāyāṃ dakṣiṇe vedyante keśaśmaśrūṇy asya vāpayeyuḥ
8.8.15	anubandhyaśeṣaṃ samāpya madhye devayajanasya citāṃ cinuyuḥ
8.8.16	paścād gārhapatyam upadadhyuḥ purastād āhavanīyaṃ paścimena gārhapatyaṃ dakṣiṇata āgnīdhrīyaṃ parihareyuḥ
8.8.17	taṃ dakṣiṇāśirasaṃ citāv āhitaṃ yajñapātraiḥ kalpayet
8.8.18	śirasi kapālāni yuñjyāt
8.8.19	samoptadhānaṃ ca camasam
8.8.20	lalāṭe prāśitraharaṇam
8.8.21	nāsikyoḥ sruvau
8.8.22	āsye hiraṇyam avadhāyānustaraṇikyā gaur mukhaṃ vapayā pracchādya tatrāgnihotrahavanīṃ tirañcīm
8.8.23	dakṣiṇe pāṇau juhūm
8.8.24	savya upabhṛtam
8.8.25	tathā vṛkkau
8.8.26	urasi dhruvām
8.8.27	udare pātrīm
8.8.28	upasthe kṛṣṇājinam
8.8.29	antareṇa sakthṇī śamyādṛṣadupale yac ca nādekṣyāmaḥ
8.8.30	dakṣiṇasyokhasya dakṣiṇata ulūkhalam
8.8.31	anusakthaṃ muṣalam
8.8.32	pādayoḥ sūrpam
8.8.33	sarvaṇy uttānāni pṛṣadājyavanti kṛtvā sarvebhyo 'gnibhya ulaparājīs taṇuyur yathāsminn agnayaḥ samaveṣyantīti
8.8.34	āhavanīyāc cet prathamam eyāt brahmalokam eṣyatīti vidyād gārhapatyād devalokaṃ dakṣiṇāgneḥ pitṛlokam
8.8.35	kḷpteṣu yajñapātreṣu triś chandogaḥ parigāyeta nāke suparṇam iti
8.8.36	dhūma udite tveṣas te dhūma ṛṇvatīti
8.8.37	prajvalite 'gne mṛḍamahām asīty etayor anyatareṇa
8.8.38	eṣaivāvṛt sarvāhitāgnīnām
8.8.39	jīvec cet yajetodavasānīyayā
8.8.40	abhojanena tata ūrdhvaṃ mumūrṣat
8.8.41	bhuñjīta jijīviṣed eveti dhānañjapyaḥ
8.8.42	tasya kṛtānnandakṣiṇā
8.8.43	phālgunyāṃ paurṇamāsyāṃ cāturmāsyāny ārabheta
8.8.44	uktaṃ kālāntaraṃ brāhmaṇena
8.8.45	yajanīye 'hani vaiśvadevaśunāsīrye syātām uttaraṃ ca vāruṇapraghāsikam
8.8.46	parvaṇy uttamaṃ sākamedhānām
